tienda,sucursal,sku,nombre,categoria_url,en_stock,precio_bulto_cerrado,precio_bulto_cerrado_lista,precio_unitario,presentaciones,url_producto,fecha_scrape
maxiconsumo,sucursal_trelew,18053,SALAME MAROLIO MILAN 1/2 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,14249.9,,14249.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salame-marolio-milan-1-2-1-kg-18053.html,2026-08-15T15:22:41.433683
maxiconsumo,sucursal_trelew,9144,SALAME CHAMPION MILAN 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,16769.9,,16769.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salame-champion-milan-1-kg-9144.html,2026-08-15T15:22:41.433966
maxiconsumo,sucursal_trelew,24529,SALAMIN CHACRA 43 PICAO FINO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,17999.9,,17999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-chacra-43-picao-fino-1-kg-24529.html,2026-08-15T15:22:41.434257
maxiconsumo,sucursal_trelew,24531,SALAMIN CHACRA43 PICADO GRUESO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,17999.9,,17999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-chacra43-picado-grueso-1-kg-24531.html,2026-08-15T15:22:41.434555
maxiconsumo,sucursal_trelew,24528,SALAME CHACRA 43 BASTON PICADO GRUESO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,19999.9,,19999.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salame-chacra-43-baston-picado-grueso-1-kg-24528.html,2026-08-15T15:22:41.434843
maxiconsumo,sucursal_trelew,9445,PANCETA 214 AHUMADA CON CUERO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,22159.9,,22159.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/panceta-214-ahumada-con-cuero-1-kg-9445.html,2026-08-15T15:22:41.435138
maxiconsumo,sucursal_trelew,25052,SALAME CAGNOLI BASTON PICADO FINO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,22499.89,,22499.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salame-cagnoli-baston-picado-fino-1-kg-25052.html,2026-08-15T15:22:41.435424
maxiconsumo,sucursal_trelew,25053,SALAMIN CAGNOLI BASTON PICAGO GRUESO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,22499.89,,22499.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-cagnoli-baston-picago-grueso-1-kg-25053.html,2026-08-15T15:22:41.435710
maxiconsumo,sucursal_trelew,9449,CANDELARIO 214 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,23589.89,,23589.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/candelario-214-1-kg-9449.html,2026-08-15T15:22:41.435995
maxiconsumo,sucursal_trelew,9429,LONGANIZA 214 CALABRESA 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,23769.89,,23769.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/longaniza-214-calabresa-1-kg-9429.html,2026-08-15T15:22:41.436290
maxiconsumo,sucursal_trelew,18056,BONDIOLA MAROLIO ENVASADA AL VACIO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,26779.89,,26779.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/bondiola-marolio-envasada-al-vacio-1-kg-18056.html,2026-08-15T15:22:41.436576
