tienda,sucursal,sku,nombre,categoria_url,en_stock,estado_stock,precio_bulto_cerrado,precio_bulto_cerrado_lista,precio_unitario,presentaciones,url_producto,fecha_scrape,categoria_raiz,unidad_detectada,cantidad_base,precio_bulto_cerrado_normalizado,precio_unitario_normalizado
maxiconsumo,sucursal_trelew,304,ACEITE MAROLIO MEZCLA 900 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,2199.89,,2529.87,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-marolio-mezcla-900-cc-304.html,2026-08-15T19:03:37.323940,almacen.html,L,900.0,2444.322222222222,2810.9666666666662
maxiconsumo,sucursal_trelew,12096,ACEITE COCINERO MEZCLA 900 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,2449.9,,2817.38,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-cocinero-mezcla-900-cc-12096.html,2026-08-15T19:03:37.324476,almacen.html,L,900.0,2722.1111111111113,3130.4222222222224
maxiconsumo,sucursal_trelew,531,ACEITE LEGITIMO GIRASOL 900 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,2899.9,,3334.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-legitimo-girasol-900-cc-531.html,2026-08-15T19:03:37.324799,almacen.html,L,900.0,3222.1111111111113,3705.4222222222224
maxiconsumo,sucursal_trelew,23498,ACEITE MOLTO MANTECA AEROSOL 120 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,3149.9,,3622.38,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-molto-manteca-aerosol-120-cc-23498.html,2026-08-15T19:03:37.325092,almacen.html,L,120.0,26249.166666666668,30186.500000000004
maxiconsumo,sucursal_trelew,218,ACEITE CANUELAS GIRASOL 900 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,3179.9,,3656.89,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-canuelas-girasol-900-cc-218.html,2026-08-15T19:03:37.325383,almacen.html,L,900.0,3533.222222222222,4063.211111111111
maxiconsumo,sucursal_trelew,72,ACEITE FRITOLIM AERO CLASIC 120 cc,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,3499.9,,4024.89,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-fritolim-aero-clasic-120-cc-72.html,2026-08-15T19:03:37.325674,almacen.html,L,120.0,29165.833333333336,33540.74999999999
maxiconsumo,sucursal_trelew,10,"ACEITE MAROLIO MEZCLA PVC 1,5 LT",https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,3649.89,,4197.38,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-marolio-mezcla-pvc-1-5-lt-10.html,2026-08-15T19:03:37.325961,almacen.html,L,1500.0,2433.2599999999998,2798.253333333333
maxiconsumo,sucursal_trelew,187,ACEITE NATURA AEROSOL 120 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,3699.9,,4254.89,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-natura-aerosol-120-cc-187.html,2026-08-15T19:03:37.326248,almacen.html,L,120.0,30832.5,35457.416666666664
maxiconsumo,sucursal_trelew,119,ACEITE NATURA GIRASOL 900 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,3799.9,,4369.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-natura-girasol-900-cc-119.html,2026-08-15T19:03:37.326541,almacen.html,L,900.0,4222.111111111111,4855.422222222222
maxiconsumo,sucursal_trelew,1310,ACEITE MAZOLA ROCIO VEGETAL MAIZ 120 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4049.89,,4657.38,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-mazola-rocio-vegetal-maiz-120-cc-1310.html,2026-08-15T19:03:37.326830,almacen.html,L,120.0,33749.08333333333,38811.5
maxiconsumo,sucursal_trelew,1319,ACEITE MAZOLA ROCIO VEGETAL MANTECA 120 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4049.89,,4657.38,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-mazola-rocio-vegetal-manteca-120-cc-1319.html,2026-08-15T19:03:37.327115,almacen.html,L,120.0,33749.08333333333,38811.5
maxiconsumo,sucursal_trelew,14857,ACEITE COCINERO MEZCLA 1.5 LT,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4099.9,,4714.89,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-cocinero-mezcla-1-5-lt-14857.html,2026-08-15T19:03:37.327445,almacen.html,L,1500.0,2733.2666666666664,3143.26
maxiconsumo,sucursal_trelew,589,"ACEITE MAROLIO GIRASOL PVC 1,5 LT",https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4499.89,,5174.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-marolio-girasol-pvc-1-5-lt-589.html,2026-08-15T19:03:37.327736,almacen.html,L,1500.0,2999.926666666667,3449.92
maxiconsumo,sucursal_trelew,20020,"ACEITE MOLTO GIRASOL 1,5 LT",https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4499.89,,5174.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-molto-girasol-1-5-lt-20020.html,2026-08-15T19:03:37.328021,almacen.html,L,1500.0,2999.926666666667,3449.92
maxiconsumo,sucursal_trelew,534,"ACEITE LEGITIMO GIRASOL 1,5 LT",https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4599.9,,5289.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-legitimo-girasol-1-5-lt-534.html,2026-08-15T19:03:37.328312,almacen.html,L,1500.0,3066.6,3526.5866666666666
maxiconsumo,sucursal_trelew,257,ACEITE MAZOLA MAIZ 900 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4649.9,,5347.38,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-mazola-maiz-900-cc-257.html,2026-08-15T19:03:37.328599,almacen.html,L,900.0,5166.555555555555,5941.533333333333
maxiconsumo,sucursal_trelew,22268,ACEITE NATURA AEROSOLOLIVA 120 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,4899.9,,5634.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-natura-aerosololiva-120-cc-22268.html,2026-08-15T19:03:37.328885,almacen.html,L,120.0,40832.49999999999,46957.33333333333
maxiconsumo,sucursal_trelew,124,"ACEITE NATURA GIRASOL PVC 1,5 LT",https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,6199.9,,7129.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/aceite-natura-girasol-pvc-1-5-lt-124.html,2026-08-15T19:03:37.329167,almacen.html,L,1500.0,4133.266666666666,4753.253333333333
maxiconsumo,sucursal_trelew,28954,ACITE OLIOVITA OLIVA PET 250 CC,https://www.maxiconsumo.com/sucursal_trelew/almacen.html,True,En stock,7699.9,,8854.88,,https://www.maxiconsumo.com/sucursal_trelew/almacen/acite-oliovita-oliva-pet-250-cc-28954.html,2026-08-15T19:03:37.329452,almacen.html,L,250.0,30799.6,35419.52
